,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.054000000000000006,0.0,0.37,-0.316,3.793
1,0.054000000000000006,0.0,0.353,-0.299,3.736
2,0.054000000000000006,0.0,0.359,-0.305,3.682
3,0.054000000000000006,0.0,0.38,-0.326,3.627
4,0.054000000000000006,0.0,0.38,-0.326,3.569
5,0.054000000000000006,0.0,0.387,-0.333,3.511
6,0.054000000000000006,0.0,0.381,-0.327,3.451
7,0.16,0.0,0.373,-0.213,3.393
8,0.35700000000000004,0.0,0.411,-0.054,3.336
9,0.251,0.0,0.401,-0.15,3.273
10,0.251,0.0,0.376,-0.125,3.211
11,0.054000000000000006,0.0,0.368,-0.314,3.154
12,0.054000000000000006,0.0,0.355,-0.301,3.097
13,0.054000000000000006,0.0,0.363,-0.309,3.043
14,0.054000000000000006,0.0,0.371,-0.317,2.987
15,0.054000000000000006,0.0,0.408,-0.354,2.93
16,0.054000000000000006,0.0,0.398,-0.344,2.868
17,0.054000000000000006,0.0,0.38,-0.326,2.807
18,0.35700000000000004,0.0,0.402,-0.045,2.748
19,0.35700000000000004,0.0,0.381,-0.024,2.687
20,0.054000000000000006,0.0,0.364,-0.31,2.628
21,0.054000000000000006,0.0,0.452,-0.398,2.572
22,0.054000000000000006,0.0,0.468,-0.414,2.503
23,0.054000000000000006,0.0,0.393,-0.339,2.431
24,0.054000000000000006,0.0,0.41,-0.356,2.371
25,0.054000000000000006,0.0,0.414,-0.36,2.308
26,0.16,0.0,0.386,-0.226,2.245
27,0.251,0.0,0.367,-0.116,2.185
28,0.251,0.0,0.384,-0.133,2.129
29,0.054000000000000006,0.0,0.386,-0.332,2.07
30,0.054000000000000006,0.0,0.394,-0.34,2.011
31,0.054000000000000006,0.0,0.401,-0.347,1.951
32,0.16,0.0,0.388,-0.228,1.889
33,0.16,0.0,0.387,-0.227,1.83
34,0.054000000000000006,0.0,0.407,-0.353,1.77
35,0.251,0.0,0.405,-0.154,1.708
