,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.054000000000000006,0.0,0.37,-0.316,3.793
1,0.054000000000000006,0.0,0.353,-0.299,3.736
2,0.054000000000000006,0.0,0.359,-0.305,3.682
3,0.054000000000000006,0.0,0.38,-0.326,3.627
4,0.054000000000000006,0.0,0.38,-0.326,3.569
5,0.054000000000000006,0.0,0.387,-0.333,3.511
6,0.054000000000000006,0.0,0.381,-0.327,3.451
7,0.054000000000000006,0.0,0.373,-0.319,3.393
8,0.22,0.0,0.411,-0.191,3.336
9,0.441,0.0,0.401,0.04,3.273
10,0.275,0.0,0.376,-0.101,3.211
11,0.054000000000000006,0.0,0.368,-0.314,3.154
12,0.054000000000000006,0.0,0.355,-0.301,3.097
13,0.054000000000000006,0.0,0.363,-0.309,3.043
14,0.054000000000000006,0.0,0.371,-0.317,2.987
15,0.22,0.0,0.408,-0.188,2.93
16,0.441,0.0,0.398,0.043,2.868
17,0.275,0.0,0.38,-0.105,2.807
18,0.054000000000000006,0.0,0.402,-0.348,2.748
19,0.054000000000000006,0.0,0.381,-0.327,2.687
20,0.054000000000000006,0.0,0.364,-0.31,2.628
21,0.054000000000000006,0.0,0.452,-0.398,2.572
22,0.054000000000000006,0.0,0.468,-0.414,2.503
23,0.22,0.0,0.393,-0.173,2.431
24,0.441,0.0,0.41,0.031,2.371
25,0.275,0.0,0.414,-0.139,2.308
26,0.054000000000000006,0.0,0.386,-0.332,2.245
27,0.054000000000000006,0.0,0.367,-0.313,2.185
28,0.054000000000000006,0.0,0.384,-0.33,2.129
29,0.054000000000000006,0.0,0.386,-0.332,2.07
30,0.054000000000000006,0.0,0.394,-0.34,2.011
31,0.22,0.0,0.401,-0.181,1.951
32,0.22,0.0,0.388,-0.168,1.889
33,0.054000000000000006,0.0,0.387,-0.333,1.83
34,0.275,0.0,0.407,-0.132,1.77
35,0.275,0.0,0.405,-0.13,1.708
36,0.275,0.0,0.392,-0.117,1.646
