,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.049,0.0,0.371,-0.322,3.793
1,0.049,0.0,0.335,-0.286,3.736
2,0.049,0.0,0.343,-0.294,3.685
3,0.049,0.0,0.377,-0.328,3.632
4,0.049,0.0,0.375,-0.326,3.574
5,0.049,0.0,0.383,-0.334,3.517
6,0.049,0.0,0.369,-0.32,3.458
7,0.049,0.0,0.354,-0.305,3.402
8,0.171,0.0,0.388,-0.217,3.347
9,0.171,0.0,0.38,-0.209,3.288
10,0.049,0.0,0.364,-0.315,3.23
11,0.21,0.0,0.36,-0.15,3.174
12,0.21,0.0,0.34,-0.13,3.119
13,0.049,0.0,0.35,-0.301,3.066
14,0.049,0.0,0.366,-0.317,3.013
15,0.171,0.0,0.393,-0.222,2.957
16,0.171,0.0,0.382,-0.211,2.896
17,0.049,0.0,0.362,-0.313,2.838
18,0.21,0.0,0.389,-0.179,2.782
19,0.21,0.0,0.376,-0.166,2.723
20,0.049,0.0,0.355,-0.306,2.665
21,0.049,0.0,0.457,-0.408,2.611
22,0.049,0.0,0.461,-0.412,2.541
23,0.049,0.0,0.376,-0.327,2.47
24,0.049,0.0,0.401,-0.352,2.412
25,0.049,0.0,0.406,-0.357,2.351
26,0.049,0.0,0.371,-0.322,2.289
27,0.171,0.0,0.35,-0.179,2.232
28,0.332,0.0,0.37,-0.038,2.178
29,0.21,0.0,0.371,-0.161,2.121
30,0.049,0.0,0.372,-0.323,2.064
31,0.049,0.0,0.37,-0.321,2.007
32,0.049,0.0,0.371,-0.322,1.951
33,0.171,0.0,0.379,-0.208,1.894
34,0.171,0.0,0.406,-0.235,1.836
35,0.21,0.0,0.404,-0.194,1.773
36,0.21,0.0,0.387,-0.177,1.711
37,0.049,0.0,0.382,-0.333,1.652
38,0.049,0.0,0.37,-0.321,1.593
39,0.049,0.1,0.293,-0.344,1.537
40,0.049,0.1,0.4,-0.451,1.492
41,0.049,0.1,0.631,-0.682,1.43
42,0.049,0.1,0.55,-0.601,1.334
43,0.332,0.1,0.641,-0.409,1.249
44,0.332,0.1,0.622,-0.39,1.151
45,0.049,0.3,0.29,-0.541,1.056
46,0.049,0.3,0.343,-0.594,1.011
47,0.049,0.3,0.378,-0.629,0.958
